milk_regular_1_liter,loaf_of_fresh_white_bread_500g,eggs_regular_12,local_cheese_1kg,water_15_liter_bottle,bottle_of_wine_midrange,domestic_beer_05_liter_bottle,imported_beer_033_liter_bottle,cigarettes_20_pack_marlboro,chicken_fillets_1kg,apples_1kg,oranges_1kg,potato_1kg,lettuce_1_head,rice_white_1kg,tomato_1kg,banana_1kg,onion_1kg,beef_round_1kg_or_equivalent_back_leg_red_meat
Denmark,1.92,3.15,4.52,12.45,1.35,9.16,1.75,2.29,8.81,10.73,3.01,3.30,2.06,1.92,2.28,4.24,3.08,1.76,15.70
Ecuador,1.10,1.63,2.09,6.32,1.09,9.80,1.76,2.73,6.00,5.70,2.20,1.41,1.16,0.68,1.41,1.29,1.16,1.05,6.99
Egypt,0.88,0.64,1.46,3.38,0.19,7.04,1.26,1.55,1.81,4.36,1.44,0.37,0.48,0.22,0.71,0.40,0.51,0.46,8.69
El_Salvador,1.98,2.02,2.55,7.05,1.09,12.00,1.55,2.41,4.00,5.48,3.35,2.55,2.38,0.96,1.67,2.71,1.87,2.18,9.14
Estonia,1.11,1.25,2.59,10.51,1.05,8.41,1.67,2.11,5.78,7.55,1.85,2.22,1.12,1.84,2.25,2.95,1.36,0.95,17.13
Finland,1.17,2.57,3.09,8.09,1.77,13.67,3.04,3.38,10.57,12.81,2.42,2.36,1.29,1.99,2.59,4.01,1.87,1.74,20.42
France,1.21,1.90,3.96,18.33,0.72,7.36,2.29,2.88,12.09,12.98,2.94,2.97,2.17,1.44,2.38,3.43,2.16,2.25,19.53
Georgia,1.80,0.58,2.28,7.67,0.60,6.27,1.28,2.13,2.79,5.69,1.18,1.52,0.65,1.09,1.70,1.61,1.53,0.69,9.21
Germany,1.15,2.01,3.39,13.36,0.87,6.30,0.96,1.57,8.62,13.46,2.83,2.11,1.48,1.76,3.09,4.57,1.57,1.55,18.13
Greece,1.58,1.34,4.19,12.78,0.81,8.41,1.79,2.62,4.84,9.86,1.94,1.37,1.18,1.00,2.36,2.01,1.90,1.14,13.02
Hong_Kong_(China),3.15,2.30,3.53,26.86,1.64,15.42,2.08,2.75,13.10,9.57,3.61,3.84,2.44,1.84,2.12,3.26,2.55,2.46,22.22
Hungary,1.01,1.34,2.45,8.91,0.46,4.56,0.97,1.28,5.58,5.03,1.42,1.67,1.03,1.20,1.73,2.82,1.64,1.14,10.80
India,0.71,0.50,0.97,5.34,0.34,8.86,1.88,3.04,4.13,3.19,2.16,1.10,0.41,0.54,0.72,0.58,0.74,0.46,5.76
Indonesia,1.28,1.19,1.59,7.57,0.44,18.81,2.20,3.07,2.38,3.34,2.67,1.88,1.34,0.90,0.90,1.28,1.46,2.14,8.04
Iran,0.63,0.51,1.16,3.69,0.25,-,-,-,2.20,3.26,0.93,0.93,0.53,0.53,2.21,0.61,1.48,0.52,9.63
Iraq,1.26,0.85,1.76,5.18,0.53,11.43,1.86,2.26,2.00,4.22,1.02,1.00,0.64,0.61,1.55,0.68,1.12,0.63,11.93
Ireland,1.37,1.90,3.92,9.35,1.72,12.62,2.92,3.39,17.35,10.38,2.66,2.73,1.89,1.20,1.70,3.78,1.97,1.41,11.50
Israel,1.89,2.60,3.97,14.60,1.38,11.59,2.66,3.13,10.48,10.81,3.29,1.88,1.47,1.87,2.80,2.14,2.17,1.49,18.94
Italy,1.52,2.11,3.63,14.60,0.46,6.31,1.62,2.20,6.31,11.23,2.25,2.39,1.74,1.35,2.70,2.98,1.96,1.66,18.19
Japan,1.45,1.51,2.13,11.47,0.88,7.99,2.04,2.80,4.00,6.48,5.02,4.57,2.70,1.29,3.87,4.55,2.42,2.45,17.63
Jordan,1.46,0.50,2.05,6.77,0.57,21.15,4.86,6.07,3.53,5.33,1.80,1.42,0.88,0.63,1.69,0.76,1.53,0.76,11.35
Kazakhstan,1.09,0.45,1.56,8.92,0.65,6.68,0.85,1.74,1.72,4.49,1.21,1.94,0.49,0.99,1.43,1.70,1.80,0.41,6.86
Kenya,0.82,0.53,1.60,10.50,0.70,10.79,2.04,2.54,3.08,5.89,2.61,1.78,0.88,0.68,1.49,0.87,1.06,1.09,4.84
Kuwait,1.52,1.10,2.26,5.47,0.49,-,-,-,3.25,5.94,2.23,1.65,1.18,1.79,1.86,1.50,1.80,0.94,10.17
Latvia,1.23,1.47,2.73,10.74,0.80,7.36,1.63,1.90,5.26,6.90,1.47,2.30,0.88,1.50,2.80,3.20,1.72,0.95,10.75
Libya,1.03,0.30,1.41,5.31,0.25,-,-,-,2.05,3.50,1.79,0.79,0.66,0.45,1.17,0.56,1.32,0.63,10.02
Lithuania,1.34,1.57,2.63,11.59,0.86,8.41,1.50,1.89,5.26,6.78,1.32,1.97,0.84,1.70,2.42,3.08,1.54,0.95,10.78
Luxembourg,1.52,2.91,4.34,17.21,0.72,8.94,1.67,1.99,6.10,13.42,2.79,2.85,2.28,1.87,2.72,3.93,2.10,2.17,23.38
Malaysia,1.69,0.88,1.92,13.70,0.54,16.80,2.64,3.48,4.03,3.91,2.53,2.52,0.91,0.98,1.27,1.29,1.27,1.05,7.85
Malta,1.17,1.21,3.28,9.25,0.83,7.10,1.61,2.53,6.10,8.66,2.90,2.58,1.79,1.76,3.17,3.03,1.89,1.92,15.26
Mauritius,1.27,0.70,2.06,8.39,0.61,10.68,1.54,1.87,6.09,5.49,2.07,2.02,1.07,0.87,1.99,3.07,1.84,1.09,12.70
Mexico,1.36,2.38,2.17,7.94,0.91,9.84,1.44,2.62,3.93,7.09,2.54,1.66,1.83,1.19,1.60,1.65,1.30,1.68,9.90
Moldova,1.16,0.51,2.25,10.27,0.77,5.46,1.15,1.84,2.95,4.94,0.74,1.61,0.66,1.31,1.49,1.88,1.72,0.68,7.98
Montenegro,1.29,0.91,2.90,7.98,0.78,5.26,1.05,1.58,3.79,7.03,1.21,1.44,0.97,1.41,2.07,2.43,1.79,1.13,10.51
Morocco,0.81,0.47,1.79,9.17,0.57,6.99,2.27,2.37,3.90,5.74,1.36,0.78,0.70,0.41,1.67,0.79,1.19,0.73,9.52
Nepal,0.76,0.50,1.54,7.97,0.26,7.37,2.22,3.23,2.95,3.20,2.32,1.11,0.44,0.40,0.85,0.67,0.99,0.62,5.66
Netherlands,1.15,1.85,4.42,12.55,0.78,6.30,1.37,2.47,11.57,14.86,1.92,1.77,1.94,1.13,2.93,3.57,2.28,1.91,15.79
New_Zealand,1.77,1.89,6.33,8.01,1.16,9.08,3.00,3.52,23.43,9.28,2.73,2.96,2.09,2.35,1.84,5.21,2.24,1.78,12.68
Nigeria,2.69,1.35,2.00,4.66,0.49,5.45,0.87,1.12,1.20,4.67,3.90,1.71,2.06,0.81,2.21,2.09,2.41,1.71,4.67
North_Macedonia,1.21,0.69,2.03,7.80,0.49,5.72,0.99,1.34,2.73,6.80,0.93,1.19,0.83,0.57,1.46,1.68,1.29,0.97,11.53
Norway,2.03,3.03,4.00,10.74,1.94,14.47,3.09,3.83,13.56,13.59,3.04,2.90,2.17,2.44,2.96,4.25,2.26,2.35,26.57
Oman,1.82,1.15,2.49,4.98,0.56,18.18,4.04,8.57,5.97,5.34,2.40,1.85,1.01,1.02,1.92,1.16,1.76,0.91,8.80
Pakistan,0.80,0.60,1.19,5.64,0.38,-,-,-,1.98,2.84,1.05,0.75,0.38,0.37,1.23,0.54,0.64,0.54,4.00
Palestine,1.82,0.93,2.60,6.32,0.76,11.03,2.95,3.15,7.45,6.75,1.98,1.25,1.09,1.22,2.30,1.35,1.40,1.05,14.76
Panama,1.78,2.38,2.58,12.18,1.49,9.00,1.18,2.02,5.62,7.20,3.73,2.70,2.08,2.07,2.30,2.95,1.38,2.24,8.74
Peru,1.28,2.29,2.57,7.01,0.77,8.00,1.62,2.44,5.33,4.93,1.74,0.97,1.00,0.68,1.18,1.08,0.92,0.90,8.76
Philippines,1.73,1.22,2.00,7.53,0.71,6.32,1.13,1.80,2.74,4.19,2.85,2.58,2.13,1.33,0.92,1.57,1.41,2.52,7.06
Poland,0.95,1.20,2.99,8.55,0.60,6.13,1.04,1.50,4.66,5.93,0.97,1.69,0.85,1.20,1.37,2.63,1.59,1.08,11.02
Portugal,0.99,1.43,2.83,10.64,0.72,5.26,1.19,2.29,5.78,7.06,2.09,1.67,1.57,1.46,1.46,2.35,1.33,1.85,12.75
Qatar,2.11,1.56,2.65,11.22,0.48,-,-,-,6.43,8.21,1.97,1.56,0.97,1.31,2.24,1.37,1.57,1.24,10.64
Romania,1.49,1.13,3.01,8.08,0.76,6.34,1.03,1.61,5.39,6.18,1.07,1.48,0.88,0.84,1.63,1.94,1.50,0.92,9.91
Russia,0.78,0.47,1.23,7.31,0.48,5.24,0.69,1.36,2.05,3.54,1.14,1.44,0.45,0.91,1.01,1.95,1.19,0.43,6.62
Saudi_Arabia,1.70,1.03,2.52,7.16,0.59,-,-,-,7.45,7.58,2.17,1.65,1.32,1.17,2.17,1.60,1.65,1.27,12.83
Serbia,1.32,0.76,2.47,9.08,0.61,6.29,0.75,1.52,4.05,6.63,1.11,1.56,0.96,0.69,2.32,2.09,1.71,0.88,11.06
Singapore,2.65,2.16,3.21,16.12,1.49,26.02,3.90,4.91,12.64,10.25,4.01,4.08,2.19,1.78,2.85,2.72,2.93,2.20,19.63
Slovakia,1.05,1.47,3.38,12.68,0.81,5.26,0.99,1.68,5.26,7.20,1.71,2.17,1.48,1.39,1.80,4.12,1.80,1.54,11.48
South_Africa,1.07,0.97,2.24,7.34,0.92,4.67,1.32,1.64,2.87,4.48,1.48,1.41,1.22,1.02,1.53,1.49,1.40,1.34,6.53
South_Korea,2.08,2.97,2.96,12.45,1.12,17.70,2.13,2.72,3.19,8.90,7.24,5.62,3.62,2.36,2.90,5.53,3.33,2.87,29.74
Spain,1.10,1.38,2.68,12.79,0.70,5.26,1.15,1.89,5.78,7.62,2.17,1.88,1.63,1.17,1.45,2.35,1.82,1.73,14.26
Sri_Lanka,1.72,0.61,2.28,12.96,0.57,13.74,1.98,2.73,9.62,5.23,7.00,6.03,1.13,1.21,0.82,1.31,1.06,1.09,8.14
Sweden,1.45,2.62,3.77,10.42,1.30,9.09,1.80,1.90,6.54,10.81,2.72,2.71,1.49,2.06,3.30,3.92,2.35,1.57,16.11
Switzerland,1.97,3.66,6.92,26.38,1.13,13.54,2.31,2.70,10.16,28.52,3.50,2.98,2.50,2.37,4.00,5.93,2.40,2.32,46.10
Taiwan,2.98,1.85,2.74,15.51,1.15,12.33,1.58,2.16,3.70,8.64,4.13,2.64,2.61,1.82,2.96,3.14,2.07,2.15,18.33
Thailand,1.73,1.34,2.05,17.52,0.49,17.49,1.70,2.85,4.14,2.71,2.81,1.95,1.45,1.09,1.25,1.52,1.25,1.19,9.90
Tunisia,0.46,0.16,1.50,9.88,0.28,6.34,1.18,1.25,3.17,5.61,1.79,1.08,0.63,0.42,1.36,0.70,3.19,0.55,12.38
Turkey,0.94,0.98,1.61,10.08,0.35,10.07,1.98,2.65,2.07,5.58,0.95,0.99,0.55,1.00,1.73,1.18,2.00,0.50,18.48
Ukraine,1.00,0.62,1.66,7.84,0.51,4.78,0.80,1.31,2.39,3.85,0.72,1.54,0.52,1.09,1.36,2.03,1.52,0.65,6.06
United_Arab_Emirates,1.82,1.36,2.98,9.10,0.58,13.61,2.33,3.27,6.26,8.06,2.23,1.77,1.08,1.56,2.15,1.40,1.75,1.31,10.87
United_Kingdom,1.58,1.57,3.74,9.02,1.41,10.15,2.59,3.10,17.77,8.41,2.74,2.72,1.49,1.03,2.08,3.35,1.50,1.40,13.33
United_States,1.06,3.61,3.75,12.93,2.21,15.00,1.90,3.56,10.00,12.03,5.27,4.50,2.97,2.19,4.59,4.92,1.68,3.08,16.06
Uruguay,1.08,2.50,3.84,12.51,1.57,6.97,2.09,2.79,4.86,9.23,2.56,1.40,1.77,1.20,1.49,3.09,2.24,1.81,9.84
Uzbekistan,1.07,0.47,1.65,7.05,0.39,5.22,1.15,3.02,2.00,3.80,1.31,2.12,0.48,0.56,1.73,1.40,1.76,0.38,8.11
Venezuela,1.84,1.84,2.54,6.19,1.56,9.00,1.25,2.00,3.85,6.54,4.58,1.63,1.84,1.15,1.27,1.82,1.37,1.85,6.98
Vietnam,1.44,0.95,1.52,11.56,0.50,9.84,0.82,1.39,1.30,3.68,2.96,1.41,1.17,0.76,0.91,1.07,1.02,1.19,10.32
